"Incident_Number","Assigned_Group"
"INC000000000102","Database"
"INC000000000106","Database"
"INC000000000108","Database"
"INC000000000109","Service Desk"
"INC000000000112","Service Desk"
"INC000000000115","Service Desk"
"INC000000000119","Database"
"INC000000000121","SAN"
"INC000000000123","Service Desk"
"INC000000000126","Database"
"INC000000000129","Service Desk"
"INC000000000132","Service Desk"
"INC000000000134","Service Desk"
"INC000000000137","Unix"
"INC000000000147","Service Desk"
"INC000000000149","Database"
"INC000000000158","Service Desk"
"INC000000000161","Service Desk"
"INC000000000165","Service Desk"
"INC000000000168","Service Desk"
"INC000000000170","Unix"
"INC000000000173","Unix"
"INC000000000175","Database"
"INC000000000177","Unix"
"INC000000000179","Unix"
"INC000000000181","Service Desk"
"INC000000000183","Unix"
"INC000000000185","Service Desk"
"INC000000000186","Database"
"INC000000000188","Service Desk"
"INC000000000190","Service Desk"
"INC000000000191","Service Desk"
"INC000000000192","Service Desk"
"INC000000000194","Database"
"INC000000000196","Service Desk"
"INC000000000198","Service Desk"
"INC000000000200","Database"
"INC000000000201","Service Desk"
"INC000000000203","SAN"
"INC000000000204","SAN"
"INC000000000206","Database"
"INC000000000208","Service Desk"
"INC000000000211","Unix"
"INC000000000213","Service Desk"
"INC000000000215","Unix"
"INC000000000217","Service Desk"
"INC000000000219","SA_Security Management"
"INC000000000221","Service Desk"
"INC000000000223","Database"
"INC000000000225","Service Desk"
"INC000000000227","Service Desk"
"INC000000000229","Database"
"INC000000000231","Unix"
"INC000000000234","Service Desk"
"INC000000000237","Service Desk"
"INC000000000239","Unix"
"INC000000000243","Unix"
"INC000000000245","Database"
"INC000000000248","Unix"
"INC000000000250","Service Desk"
"INC000000000252","Service Desk"
"INC000000000254","Unix"
"INC000000000255","Unix"
"INC000000000258","Service Desk"
"INC000000000259","Service Desk"
"INC000000000263","Service Desk"
"INC000000000265","Service Desk"
"INC000000000266","Service Desk"
"INC000000000268","Database"
"INC000000000270","Service Desk"
"INC000000000272","Service Desk"
"INC000000000274","Service Desk"
"INC000000000276","Service Desk"
"INC000000000278","Service Desk"
"INC000000000280","Service Desk"
"INC000000000282","Service Desk"
"INC000000000284","Service Desk"
"INC000000000286","Service Desk"
"INC000000000288","Unix"
"INC000000000290","Service Desk"
"INC000000000293","Service Desk"
"INC000000000295","Service Desk"
"INC000000000297","Service Desk"
"INC000000000299","Service Desk"
"INC000000000304","Unix"
"INC000000000307","Service Desk"
"INC000000000309","Unix"
"INC000000000311","Database"
"INC000000000313","SAN"
"INC000000000315","Database"
"INC000000000317","Service Desk"
"INC000000000319","Service Desk"
"INC000000000321","Unix"
"INC000000000322","Service Desk"
"INC000000000324","Service Desk"
"INC000000000326","Service Desk"
"INC000000000328","Service Desk"
"INC000000000330","Service Desk"
"INC000000000332","Unix"
"INC000000000334","Service Desk"
"INC000000000336","Unix"
"INC000000000338","Service Desk"
"INC000000000340","Service Desk"
"INC000000000342","Service Desk"
"INC000000000344","Database"
"INC000000000346","Database"
"INC000000000348","Service Desk"
"INC000000000349","Service Desk"
"INC000000000350","Service Desk"
"INC000000000352","Database"
"INC000000000354","Database"
"INC000000000357","Database"
"INC000000000359","Service Desk"
"INC000000000360","Service Desk"
"INC000000000362","Service Desk"
"INC000000000363","Unix"
"INC000000000366","Service Desk"
"INC000000000368","Unix"
"INC000000000370","Unix"
"INC000000000372","Service Desk"
"INC000000000374","Database"
"INC000000000375","Service Desk"
"INC000000000378","Service Desk"
"INC000000000379","Service Desk"
"INC000000000382","Database"
"INC000000000385","Database"
"INC000000000387","Service Desk"
"INC000000000389","Service Desk"
"INC000000000390","Database"
"INC000000000392","Service Desk"
"INC000000000394","Database"
"INC000000000398","Database"
"INC000000000400","Database"
"INC000000000401","Service Desk"
"INC000000000403","Service Desk"
"INC000000000405","Database"
"INC000000000407","Unix"
"INC000000000410","Service Desk"
"INC000000000413","SA_MSIP OA"
"INC000000000415","Database"
"INC000000000417","Database"
"INC000000000419","Service Desk"
"INC000000000421","Unix"
"INC000000000423","Service Desk"
"INC000000000425","Service Desk"
"INC000000000427","Service Desk"
"INC000000000429","Service Desk"
"INC000000000431","Service Desk"
"INC000000000433","Service Desk"
"INC000000000435","Service Desk"
"INC000000000437","Service Desk"
"INC000000000439","Service Desk"
"INC000000000441","Database"
"INC000000000442","Service Desk"
"INC000000000443","Unix"
"INC000000000445","Database"
"INC000000000447","Database"
"INC000000000449","Service Desk"
"INC000000000451","Service Desk"
"INC000000000453","Service Desk"
"INC000000000454","Service Desk"
"INC000000000456","Service Desk"
"INC000000000457","Database"
"INC000000000459","Service Desk"
"INC000000000461","Service Desk"
